*******************************************************************************
JPL/HORIZONS               752 Sulamitis (A913 HG)         2020-Jun-22 09:27:34
Rec #:     752 (+COV) Soln.date: 2020-May-20_01:12:10   # obs: 2963 (1917-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455063.5 ! 2009-Aug-20.00 (TDB)         Residual RMS= .26494
   EC= .07494397672915126  QR= 2.277820542016824   TP= 2454790.4562628861
   OM= 85.21995709881472   W=  24.076209397031     IN= 5.956706989850332
   A= 2.462359559546262    MA= 69.6480703437423    ADIST= 2.646898577075701
   PER= 3.86398            N= .255080263           ANGMOM= .026917462
   DAN= 2.29172            DDN= 2.62837            L= 109.1808373
   B= 2.426397             MOID= 1.29419005        TP= 2008-Nov-19.9562628861
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 30.0855            ROTPER= 27.367
   H= 10.3                 G= .150                 B-V= n.a.
                           ALBEDO= .045            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#79, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:27:35 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 752 Sulamitis (A913 HG)         {source: JPL#79}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455063.5 ! 2009-Aug-20.00 (TDB)         Residual RMS= .26494        
   EC= .07494397672915126  QR= 2.277820542016824   TP= 2454790.4562628861      
   OM= 85.21995709881472   W=  24.076209397031     IN= 5.956706989850332       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.378888644774677E+00  Y=-3.769718467571148E-01  Z= 1.032716948368071E-01
  VX= 5.991343312082057E-04 VY=-1.019152079116606E-02 VZ=-4.592388859260682E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 30.0855            ROTPER= 27.367              
   H= 10.3                 G= .150                 B-V= n.a.                   
                           ALBEDO= .045            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.053317261732924E+00,  1.266590246164655E+00, -2.022851513416160E-01, -6.454097837376245E-03,  9.090746744462662E-03,  7.452930493351938E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.020511843661319E+00,  1.311707789463640E+00, -1.985059363048327E-01, -6.667665929732003E-03,  8.955372534272917E-03,  7.663436364942973E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.986644757050292E+00,  1.356135012624061E+00, -1.946222205468244E-01, -6.878741221019100E-03,  8.814623133717494E-03,  7.870908793672539E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.951728827162971E+00,  1.399845109881629E+00, -1.906355577174081E-01, -7.087179057078120E-03,  8.668527324806727E-03,  8.075199967529501E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.915777604693383E+00,  1.442811430074610E+00, -1.865475755084199E-01, -7.292833941108260E-03,  8.517118184004992E-03,  8.276161554151227E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.878805369652395E+00,  1.485007498376641E+00, -1.823599758776338E-01, -7.495559665715295E-03,  8.360433186213302E-03,  8.473644847067930E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.840827134578562E+00,  1.526407038545103E+00, -1.780745351981379E-01, -7.695209450569051E-03,  8.198514306721763E-03,  8.667500917004380E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.801858647047432E+00,  1.566983995668965E+00, -1.736931043310279E-01, -7.891636085653355E-03,  8.031408118627747E-03,  8.857580767731929E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.761916391446656E+00,  1.606712559389069E+00, -1.692176086183865E-01, -8.084692081916063E-03,  7.859165884331628E-03,  9.043735499495895E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.721017589977945E+00,  1.645567187560890E+00, -1.646500477923747E-01, -8.274229829878825E-03,  7.681843641029734E-03,  9.225816481144186E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.679180202846234E+00,  1.683522630329432E+00, -1.599924957961261E-01, -8.460101766140260E-03,  7.499502280027963E-03,  9.403675530723489E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.636422927596553E+00,  1.720553954584817E+00, -1.552471005122991E-01, -8.642160547788746E-03,  7.312207619696494E-03,  9.577165104192672E-04,
