*******************************************************************************
JPL/HORIZONS               1015 Christa (A924 CF)          2020-Jun-22 09:30:51
Rec #:    1015 (+COV) Soln.date: 2020-Feb-22_15:43:22   # obs: 2864 (1924-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455992.5 ! 2012-Mar-06.00 (TDB)         Residual RMS= .30727
   EC= .08307276060925184  QR= 2.942206242795587   TP= 2456830.1827298109
   OM= 120.4505717056506   W=  283.5727391032069   IN= 9.45956567948158
   A= 3.20876740966986     MA= 216.3597081965945   ADIST= 3.475328576544134
   PER= 5.74798            N= .171473379           ANGMOM= .030707666
   DAN= 3.12569            DDN= 3.24998            L= 44.2033706
   B= -9.193061399999999   MOID= 1.97104001        TP= 2014-Jun-21.6827298109
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 41.175             ROTPER= 11.23
   H= 9.2                  G= .150                 B-V= .693
                           ALBEDO= .048            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#100, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:30:51 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1015 Christa (A924 CF)          {source: JPL#100}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455992.5 ! 2012-Mar-06.00 (TDB)         Residual RMS= .30727        
   EC= .08307276060925184  QR= 2.942206242795587   TP= 2456830.1827298109      
   OM= 120.4505717056506   W=  283.5727391032069   IN= 9.45956567948158        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-8.487101268724384E-01  Y=-3.186666863980173E+00  Z=-9.450385400863717E-01
  VX= 8.682373572174457E-03 VY=-1.343440855502079E-03 VZ=-1.763700632742018E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 41.175             ROTPER= 11.23               
   H= 9.2                  G= .150                 B-V= .693                   
                           ALBEDO= .048            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.562153838497460E+00,  2.789072554283437E+00, -2.558212264578934E-02, -8.675875441135046E-03, -3.868898514220317E-03,  1.559602263187171E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.605354786310575E+00,  2.769413902547062E+00, -1.778152009483337E-02, -8.604226844167357E-03, -3.994330073603927E-03,  1.560579416624373E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.648193363526699E+00,  2.749131589330032E+00, -9.976919673337029E-03, -8.530932198770269E-03, -4.118360185584613E-03,  1.561201855605134E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.690661414822679E+00,  2.728232665131156E+00, -2.170088245804119E-03, -8.456021466615173E-03, -4.240971655405667E-03,  1.561472272096178E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.732750934584241E+00,  2.706724264783045E+00,  5.637220913565008E-03, -8.379524567485785E-03, -4.362147942400025E-03,  1.561393409781538E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.774454066665471E+00,  2.684613604210583E+00,  1.344326837243633E-02, -8.301471366900315E-03, -4.481873148358278E-03,  1.560968061260781E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.815763104086901E+00,  2.661907977248055E+00,  2.124632877806108E-02, -8.221891663891163E-03, -4.600132005807760E-03,  1.560199065325377E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.856670488673043E+00,  2.638614752513874E+00,  2.904469108167968E-02, -8.140815179092528E-03, -4.716909866713993E-03,  1.559089304352272E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.897168810632339E+00,  2.614741370341272E+00,  3.683665875009476E-02, -8.058271543675959E-03, -4.832192691297781E-03,  1.557641701770429E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.937250808083963E+00,  2.590295339765697E+00,  4.462054996466581E-02, -7.974290289105701E-03, -4.945967036498079E-03,  1.555859219560444E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.976909366534763E+00,  2.565284235570704E+00,  5.239469780791486E-02, -7.888900837394252E-03, -5.058220044151172E-03,  1.553744855803729E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.016137518308481E+00,  2.539715695393192E+00,  6.015745043804881E-02, -7.802132491769993E-03, -5.168939429104675E-03,  1.551301642301642E-03,
