*******************************************************************************
 Revised: Sep 28, 2012             Phobos / (Mars)                          401

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 13.1 x11.1 x9.3 Density (g cm^-3)   =  1.90 +- 0.08
  Mass (10^20 kg )        =  1.08 (10^-4)   Geometric Albedo    =  0.06 
                                 (+- 0.1)   V(1,0)              = +11.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 9.3772(10^3)    Orbital period      = 0.319 d
  Eccentricity, e         = 0.0151          Rotational period   = Synchronous
  Inclination, i  (deg)   = 1.082
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:14:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.101478958569642E-01, -1.459009265058805E+00, -2.781931067174112E-02,  1.368570721383527E-02,  9.040163790589242E-04,  1.155597491774880E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.765036284622928E-02, -1.456836097747332E+00, -2.955890373598935E-02,  1.555647639560816E-02,  1.299549377036535E-03, -8.303019065739364E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.488874280888399E-02, -1.451022216397106E+00, -3.118511631196178E-02,  1.441170006773605E-02,  2.698039016703943E-04, -3.703151018414673E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.075136169275860E-01, -1.441714429351471E+00, -3.281826839543188E-02,  1.355129298112742E-02,  2.776839079171159E-03,  2.122333144995942E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.798057824091545E-01, -1.429039255631184E+00, -3.434310223433601E-02,  1.534319379288851E-02,  3.646172207613518E-03, -7.028497693067858E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.515740963216816E-01, -1.412683674254394E+00, -3.572569392448977E-02,  1.444893981196121E-02,  2.397348744605652E-03, -4.445509423769242E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.228834402474770E-01, -1.392764189232051E+00, -3.709740734245202E-02,  1.313813768268722E-02,  4.649453105293883E-03,  2.913558169691125E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.933385796621874E-01, -1.369492026888968E+00, -3.836477253006036E-02,  1.475536359258039E-02,  5.964843999621819E-03, -5.475334229910268E-04,
