*******************************************************************************
 Revised: Jun 17, 2016           Ganymede / (Jupiter)                       503

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2634   +- 10     Density (g cm^-3)  =  1.94 +- 0.02
  Mass (10^20 kg )        = 1482   +- 1      Geometric Albedo   =  0.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1070.0428 (10^3) Orbital period     = 7.154553 d
  Eccentricity, e         = 0.0006           Rotational period  = Synchronous
  Inclination, i  (deg)   = 0.186
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:16:18 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ganymede (503)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.373198173434969E+00, -8.543546204291222E-01,  1.240471446474910E-01,  3.701326265793324E-03, -1.389339039838422E-03,  2.238117514522672E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.378999337984108E+00, -8.921047060293399E-01,  1.238615935002792E-01,  5.740160750020842E-03, -1.137584836992332E-02, -8.472164219089279E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.371722164228498E+00, -9.160460099731359E-01,  1.242741124959258E-01, -4.323926489622265E-03, -1.009160564245666E-02, -1.607013060456114E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.355180133612848E+00, -9.564645482050423E-01,  1.242391606465951E-01,  1.221940397288528E-04, -8.986529956404051E-04,  1.927131478147516E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.356918585429141E+00, -1.000176397171799E+00,  1.238738363921951E-01,  7.509122860316102E-03, -7.964217906736175E-03,  4.256776373294853E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.355735898771416E+00, -1.025213325459337E+00,  1.241498225343659E-01, -1.478390865454699E-03, -1.267385080166481E-02, -2.191452823423935E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.337472624733079E+00, -1.058639629968673E+00,  1.243359650504397E-01, -3.054879886460720E-03, -2.608601435102651E-03,  9.343465778343879E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.332278884358895E+00, -1.105313029511583E+00,  1.239227586260896E-01,  7.053384344268110E-03, -4.230468091708332E-03,  1.547058109525805E-04,
