*******************************************************************************
 Revised: Jun 17, 2016           Callisto / (Jupiter)                       504

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2403   +- 5     Density (g cm^-3)   = 1.851 +- .004
  Mass (10^20 kg )        = 1076   +- 1     Geometric Albedo    =  0.20 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1883  (10^3)    Orbital period      = 16.689018 d
  Eccentricity, e         = 0.007           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.281
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:16:36 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Callisto (504)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.391638693158328E+00, -8.471001916398785E-01,  1.240740333372892E-01, -4.910854287993207E-04, -1.152767888656520E-02, -1.664586671647406E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.374675918744112E+00, -8.993995005332063E-01,  1.236536019051247E-01,  5.890704723015752E-03, -7.273909184492009E-03,  5.448101212994331E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.356307820288363E+00, -9.187363954870592E-01,  1.243735509753038E-01, -1.549560631222251E-04, -2.518424248160122E-03,  1.433832181174597E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.369371683578704E+00, -9.472816935004451E-01,  1.243892396645341E-01, -2.655167312870883E-03, -9.717231938050288E-03, -1.362051021604495E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.363840149512914E+00, -1.002881463955065E+00,  1.236879120786704E-01,  4.984998382473806E-03, -1.002051266140385E-02, -5.688237284046146E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.337620763799053E+00, -1.032739757700943E+00,  1.241100286108330E-01,  2.990864661566151E-03, -2.584907912744709E-03,  1.727851397655409E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.342159738740347E+00, -1.051080894595211E+00,  1.245484287903516E-01, -3.332909058312419E-03, -6.875633473282899E-03, -5.275437093481295E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.347716100038775E+00, -1.102141685528268E+00,  1.238393966441549E-01,  2.660852869682517E-03, -1.158768981775487E-02, -1.448107185019979E-04,
