*******************************************************************************
 Revised: Dec 04, 2019            Elara   / (Jupiter)                       507

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 40 +- 10        Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.03
                                            V(1,0)              = +10.07

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11737 (10^3)    Orbital period      = 259.6528 d
  Eccentricity, e         =   0.207         Rotational period   = 0.5 d 
  Inclination, i  (deg)   =  28             Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:18:00 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Elara (507)                     {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.364490203052472E+00, -9.111180996163035E-01,  1.515165528778718E-01,  3.234353121735570E-03, -7.203598459538243E-03, -3.823156136750525E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.348403966862205E+00, -9.464484297878122E-01,  1.493032009322962E-01,  3.193874723623313E-03, -6.932681311511522E-03, -4.995815746019920E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.332606056821120E+00, -9.804889627944975E-01,  1.465548371985552E-01,  3.120596089979109E-03, -6.688114664021933E-03, -5.964200000268616E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.317237962865184E+00, -1.013376169911994E+00,  1.433713969266698E-01,  3.023294440480466E-03, -6.471449182034057E-03, -6.738387821860376E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.302400838861115E+00, -1.045249833690223E+00,  1.398462225577257E-01,  2.909307840259376E-03, -6.282577765893310E-03, -7.334009117372363E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.288162807146366E+00, -1.076246413999054E+00,  1.360641615014394E-01,  2.784524470788271E-03, -6.120367767531484E-03, -7.768991493486886E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.274565874578352E+00, -1.106495132062006E+00,  1.321009736407269E-01,  2.653535893471871E-03, -5.983122473751950E-03, -8.061485376954403E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.261631911810560E+00, -1.136116011925334E+00,  1.280235511162779E-01,  2.519840432463987E-03, -5.868900087470939E-03, -8.228674575908858E-04,
