*******************************************************************************
 Revised: Dec 04, 2019            Sinope / (Jupiter)                        509

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 14              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +11.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23700 (10^3)    Orbital period      = 758 d (retro)
  Eccentricity, e         =   0.275         Rotational period   = 
  Inclination, i  (deg)   =  153            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:18:40 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sinope (509)                    {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.315025534617017E+00, -6.972432409542118E-01,  1.845211259577449E-01,  2.004359385316715E-03, -7.792708259124909E-03, -2.400316070126983E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.304918558767668E+00, -7.362869120092819E-01,  1.832784329051640E-01,  2.038159420070310E-03, -7.824738759735595E-03, -2.570672946939737E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.294646733007408E+00, -7.754903889522681E-01,  1.819502446564161E-01,  2.070283712174039E-03, -7.856625320953983E-03, -2.742279272042270E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.284218675613242E+00, -8.148528677182804E-01,  1.805359647173698E-01,  2.100635435694512E-03, -7.888333135388406E-03, -2.915018088477728E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.273643503624020E+00, -8.543733533306470E-01,  1.790350616479173E-01,  2.129111962028504E-03, -7.919820515141686E-03, -3.088745520083758E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.262930861836757E+00, -8.940506235400765E-01,  1.774470832098570E-01,  2.155604811716680E-03, -7.951038007466530E-03, -3.263287697694376E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.252090951408202E+00, -9.338831870366091E-01,  1.757716726962145E-01,  2.179999927535341E-03, -7.981927325469557E-03, -3.438436037047222E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.241134557619747E+00, -9.738692363982276E-01,  1.740085873095206E-01,  2.202177836699045E-03, -8.012420058189659E-03, -3.613942226745388E-04,
