*******************************************************************************
 Revised: Dec 04, 2019            Lysithea / (Jupiter)                      510

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 12              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +11.7 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11720 (10^3)    Orbital period      = 259.22 d 
  Eccentricity, e         =   0.107         Rotational period   = 
  Inclination, i  (deg)   =   29            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:18:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Lysithea (510)                  {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.323267029174517E+00, -8.106004565163132E-01,  1.191840639649635E-01,  1.674171631327668E-04, -5.474789730748784E-03,  9.976167489504477E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.322867659085909E+00, -8.384012617619387E-01,  1.242025275903212E-01, -2.985362698948791E-06, -5.649766156318841E-03,  1.006302005931072E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.323246961906195E+00, -8.671348725967405E-01,  1.292134711346239E-01, -1.434910049469617E-04, -5.846793299433692E-03,  9.948413124601485E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.324248397384919E+00, -8.968948105736642E-01,  1.341201424800983E-01, -2.515432738506676E-04, -6.059200856441075E-03,  9.649161316679588E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.325706461273481E+00, -9.277419077036501E-01,  1.388353689049802E-01, -3.260780271936521E-04, -6.280645615810172E-03,  9.186400500640252E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.327453579615941E+00, -9.597067502799126E-01,  1.432831845060910E-01, -3.672855846147119E-04, -6.505407052681413E-03,  8.583504948519008E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.329325647385760E+00, -9.927932281989440E-01,  1.473995048899675E-01, -3.763141332201925E-04, -6.728546671160418E-03,  7.864366963031622E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.331166110459946E+00, -1.026982628237107E+00,  1.511320414342653E-01, -3.549897448654747E-04, -6.945960423230035E-03,  7.052113062199187E-04,
