*******************************************************************************
 Revised: Dec 04, 2019            Ananke / (Jupiter)                        512

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 10              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +12.2 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 21200 (10^3)    Orbital period      = 631 d (retro)
  Eccentricity, e         =   0.169         Rotational period   = 
  Inclination, i  (deg)   =  147            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:19:38 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ananke (512)                    {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.350490057806874E+00, -9.676414670127489E-01,  1.065774834160833E-01, -1.729645104443401E-04, -7.416623098904789E-03,  9.700146228515135E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.351286334074311E+00, -1.004468850307000E+00,  1.114567927415743E-01, -1.447860409366970E-04, -7.313835011447321E-03,  9.810876870008473E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.351930093076253E+00, -1.040775243598331E+00,  1.163819904937053E-01, -1.119134814387486E-04, -7.208304487715155E-03,  9.883396634314274E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.352397227984977E+00, -1.076548133920565E+00,  1.213335375046519E-01, -7.409743414861188E-05, -7.100518727268055E-03,  9.916014630707408E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.352662466268218E+00, -1.111777556172006E+00,  1.262911188078923E-01, -3.112208013455197E-05, -6.991009388674604E-03,  9.907325773170291E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.352699554439919E+00, -1.146456304828038E+00,  1.312337975448804E-01,  1.718833895292800E-05, -6.880347543399083E-03,  9.856255020624428E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.352481471951697E+00, -1.180580118046518E+00,  1.361401907355226E-01,  7.096369725237654E-05, -6.769138361960927E-03,  9.762099225286922E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.351980674154245E+00, -1.214147826653179E+00,  1.409886642191797E-01,  1.302831078037304E-04, -6.658012673649776E-03,  9.624562739392642E-04,
