*******************************************************************************
 Revised: Dec 04, 2019             Leda  / (Jupiter)                        513

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  5              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +13.5 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11094 (10^3)    Orbital period      = 238.72 d 
  Eccentricity, e         =   0.148         Rotational period   = 
  Inclination, i  (deg)   =   27            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:19:57 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Leda (513)                      {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.383865350554938E+00, -9.349121844640932E-01,  1.335097639312528E-01,  2.622848524626363E-03, -7.114623168057757E-03,  7.554553085509849E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.370619814159515E+00, -9.699698180190637E-01,  1.372207704726271E-01,  2.672352034829080E-03, -6.908584351840714E-03,  7.274900840619514E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.357171942392025E+00, -1.004000720924333E+00,  1.407702612791371E-01,  2.703786029656229E-03, -6.704161811737515E-03,  6.908820394923988E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.343612080407135E+00, -1.037016453708476E+00,  1.441154984783573E-01,  2.717142614691512E-03, -6.502751774744169E-03,  6.458181064323934E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.330030736459943E+00, -1.069035672298078E+00,  1.472146366676921E-01,  2.712365567074220E-03, -6.305805013192542E-03,  5.924705558841816E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.316518806718081E+00, -1.100084512873052E+00,  1.500266774728792E-01,  2.689358958124595E-03, -6.114868670251386E-03,  5.310076919053550E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.303167718784481E+00, -1.130197182672844E+00,  1.525114900844351E-01,  2.648009379295472E-03, -5.931632220149702E-03,  4.616115134995306E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.290069460292960E+00, -1.159416772949344E+00,  1.546299224511458E-01,  2.588213133852639E-03, -5.757966272861426E-03,  3.844953764071629E-04,
