*******************************************************************************
 Revised: Jan 23, 2020            Rhea  / (Saturn)                          605
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 764.5  +- 2     Density (g/cm^3)  =  1.233 +- 0.010
  Mass (10^19 kg)         = 230.9           Geometric Albedo  =  0.6
  GM (km^3/s^2)           = 153.94 +- 0.16  V(1,0)            = +0.1

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 527.07(10^3)    Orbital period    = 4.518 d
  Eccentricity, e         = 0.001           Rotational period = Synchronous
  Inclination, i  (deg)   = 0.331
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:23:24 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Rhea (605)                      {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.891037512167398E+00,  4.836418855878192E+00, -3.975475461673780E-01, -1.777219863716985E-03,  5.352718675266437E-04,  2.088754723950094E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.876281138141055E+00,  4.858410987465415E+00, -3.965712214518005E-01,  7.941802334396753E-04,  2.112302093024985E-03,  9.981136646706611E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.862314108421648E+00,  4.881434463810296E+00, -3.962403179973050E-01,  1.624129441813277E-03,  4.831089537697108E-03, -5.080334050590630E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.848168749053329E+00,  4.905772890479215E+00, -3.966031163089941E-01,  3.372800296057587E-04,  7.509606534091453E-03, -1.775793101477921E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.832916730442680E+00,  4.931111361752853E+00, -3.974004777671134E-01, -2.516020402268128E-03,  8.973814428531873E-03, -2.250536718304502E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.816084328960518E+00,  4.956674509292777E+00, -3.981802158675278E-01, -5.696056958861954E-03,  8.584539891152959E-03, -1.726887089229548E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.797860082217755E+00,  4.981578684309445E+00, -3.985017902574054E-01, -7.827651119106828E-03,  6.510370547272952E-03, -4.338909900193107E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.778989398039993E+00,  5.005207308521476E+00, -3.981209795717860E-01, -7.998322855594700E-03,  3.650794295845292E-03,  1.066497405370721E-03,
