*******************************************************************************
 Revised: Jan 23, 2020            Helene  / (Saturn)                        612
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km),mean        = 16 +- 4         Density (g cm^-3)   =  1.5
  Mass (10^22 g  )        = 0.002547        Geometric Albedo    =  0.6 
  GM (km^3/s^2)           = 0.00045516      V(1,0)              = +8.8 

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km) = 377.420(10^3)   Orbital period      = 2.736915 d
  Eccentricity, e         = 0.0071          Rotational period   = 
  Inclination, i  (deg)   = 0.213   

 NOTE: The IAU rotational spin-pole model (defining latitude and logitude) is 
       valid only near the time of the 1981 Voyager 1 & 2 flybys; an updated
       Cassini-based coordinate grid model is not yet published by the IAU.

       Trajectory is valid only for the interval spanned by Cassini data.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:26:11 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Helene (612)                    {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.896083990594064E+00,  4.838769650519737E+00, -3.992950421931256E-01, -7.510606362220330E-03,  8.368073104962521E-03, -1.443693734812765E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.880709619172226E+00,  4.860251032276249E+00, -3.979699559991627E-01, -1.841898852714413E-03,  9.629803576770778E-03, -2.676235324207518E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.862699662703358E+00,  4.882360603839889E+00, -3.967433415071753E-01,  2.304192024453086E-03,  5.768005661986156E-03, -1.052821771548350E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.843962531032214E+00,  4.906718262799548E+00, -3.966592957730821E-01,  6.511168367062334E-04,  8.098092200862642E-04,  1.723333762832506E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.827087702392432E+00,  4.932559155855599E+00, -3.975703785177828E-01, -5.185238378073255E-03, -7.213777424612456E-05,  2.761299927121005E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.812674323678255E+00,  4.957468315975772E+00, -3.982610876318656E-01, -9.037583916135213E-03,  4.181314485372716E-03,  8.914512872739155E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.798583431463721E+00,  4.979952511478501E+00, -3.977313513386845E-01, -6.711303330224015E-03,  8.973784942373136E-03, -1.874893037669902E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.782253595058490E+00,  5.001089628190535E+00, -3.962966479676913E-01, -8.251710945885891E-04,  9.168413157113940E-03, -2.566515867660882E-03,
