*******************************************************************************
 Revised: Oct 03, 2018            Prometheus/ (Saturn)                      616

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 74 x 50 x 34(+-3) Density (g cm^-3)   =  0.27 +- 0.16 
  Mass (10^20 kg )      = 0.0014            Geometric Albedo    =  0.5 
                                            V(1,0)              = +6.2 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 139.35 (10^3)   Orbital period      = 0.612986 d
  Eccentricity, e         = 0.0024          Rotational period   = 
  Inclination, i  (deg)   = 0.0     
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:34:25 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Prometheus (616)                {source: sat415_merged_DE437}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2047-Oct-17 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.895311654028689E+00,  4.837264933179331E+00, -3.984219543607828E-01, -4.396592506599868E-03,  1.320515316867786E-02, -4.273349903603783E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.878676220165794E+00,  4.861627617580073E+00, -3.984918543281661E-01, -1.176726081119472E-02,  8.839237817522397E-03, -1.276474424104353E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.861599634985629E+00,  4.885292472171136E+00, -3.981805403951658E-01, -1.147663190812185E-02,  8.162494792350404E-04,  2.892828026773265E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.844870695091713E+00,  4.908259685401268E+00, -3.975647268768706E-01, -3.845381057061786E-03, -3.686636331839475E-03,  4.506241874614816E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.828891221692150E+00,  4.931105913716765E+00, -3.969855350801644E-01,  4.288219546263974E-03, -6.920776475017554E-04,  2.144001911063006E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.813338246361404E+00,  4.954468262092650E+00, -3.967454688051040E-01,  5.682047826227020E-03,  7.118805756306035E-03, -2.087625182779372E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.797445606757154E+00,  4.978492411908062E+00, -3.968466575572090E-01, -9.396068749286151E-04,  1.279088951658699E-02, -4.422830617512266E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.780672859509375E+00,  5.002690114669430E+00, -3.969811961758160E-01, -9.708141412372208E-03,  1.122281469965878E-02, -2.758479403707014E-03,
