*******************************************************************************
 Revised: Oct 03, 2018            Pandora / (Saturn)                        617

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 55 x 44 x 31(+-2) Density (g cm^-3)   =  0.42 +- 0.28 
  Mass (10^20 kg )      = 0.0013            Geometric Albedo    =  0.5 
                                            V(1,0)              = +6.9 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 141.70 (10^3)   Orbital period      = 0.628804 d
  Eccentricity, e         = 0.0042          Rotational period   = 
  Inclination, i  (deg)   = 0.0     
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:34:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pandora (617)                   {source: sat415_merged_DE437}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2047-Oct-17 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.893551522397469E+00,  4.836857825300611E+00, -3.980389309069180E-01,  1.002041812876873E-03, -2.958310513773622E-03,  3.668756740301009E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.877341079966583E+00,  4.860791656372468E+00, -3.979253815520376E-01, -1.541332694024411E-03, -3.621124263610437E-03,  4.256412078373274E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.861131758247407E+00,  4.884684542887324E+00, -3.978176323171302E-01, -4.221528970091599E-03, -3.613021582010351E-03,  4.505768553949979E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.844927714327488E+00,  4.908524431555327E+00, -3.977098309074549E-01, -6.817486432424509E-03, -2.935741425343117E-03,  4.396348687112074E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.828714716866394E+00,  4.932293004334010E+00, -3.975911187394260E-01, -9.117551955843307E-03, -1.656585477300045E-03,  3.942905141532984E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.812485252890469E+00,  4.955967130631322E+00, -3.974488145133444E-01, -1.094077656164565E-02,  1.108525256910999E-04,  3.187447334409096E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.796230237632560E+00,  4.979540662418288E+00, -3.972788894054093E-01, -1.216016923681059E-02,  2.221693554842733E-03,  2.193604230009702E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.779923312345716E+00,  5.003009111872463E+00, -3.970765368985462E-01, -1.269777895633334E-02,  4.509508236066450E-03,  1.041006982755208E-03,
