*******************************************************************************
 Revised: Sep 10, 2019             Bianca  / (Uranus)                       708

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 22 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              = +10.3

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  59.165 (10^3)  Orbital period      =  0.434577 d
  Eccentricity, e         =   0.001         Rotational period   = 
  Inclination, i  (deg)   =   0.2
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:48:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Bianca (708)                    {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992534432606261E+00, -1.656736779384775E+01,  5.552070951232520E-02,  9.019049160347667E-03, -3.228564487078545E-03,  2.816820104487855E-04,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975382791729155E+00, -1.657777033787732E+01,  5.447643877666977E-02, -2.162405728965683E-03, -8.632133136109508E-04, -2.042527494191959E-04,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958216044431870E+00, -1.658793858377202E+01,  5.499978316937523E-02,  9.021878869623284E-03, -3.273852774403325E-03, -1.020020205657042E-04,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.941096538616755E+00, -1.659829340483258E+01,  5.395517621109066E-02, -2.144369516998259E-03, -8.058727174277080E-04,  1.794044023421448E-04,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.923858043402484E+00, -1.660843629805681E+01,  5.447666799956886E-02,  8.998879832951820E-03, -3.313880451948960E-03, -4.853902535247889E-04,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.906771030672788E+00, -1.661874279325511E+01,  5.343539935314828E-02, -2.100688970666864E-03, -7.538255603490144E-04,  5.621802654936397E-04,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889460564614637E+00, -1.662886079969739E+01,  5.395193044174237E-02,  8.950580383762993E-03, -3.348544431204805E-03, -8.669220689157393E-04,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872405884839562E+00, -1.663911858380598E+01,  5.291683636421691E-02, -2.031737121391847E-03, -7.072966321551787E-04,  9.419529610400002E-04,
