*******************************************************************************
 Revised: Sep 10, 2019             Cressida / (Uranus)                      709

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 33 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.5

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  61.777 (10^3)  Orbital period      =  0.463570 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.0
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:48:46 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cressida (709)                  {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992608921921668E+00, -1.656735086631343E+01,  5.552670145064908E-02,  8.770134624322743E-03, -3.045970771196352E-03,  1.281098526375899E-03,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975785866717418E+00, -1.657762877166728E+01,  5.486174611953246E-02,  3.496300619923220E-03, -1.307172602932863E-03,  5.492469524274434E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958326076338595E+00, -1.658802402131429E+01,  5.420758348660799E-02, -1.886878526899042E-03, -7.313312535476681E-04,  1.095402689415931E-03,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.940708652466334E+00, -1.659834746733502E+01,  5.417552818908750E-02,  9.930434507279876E-04, -2.209653216240746E-03, -5.088629502788823E-03,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.923643103350791E+00, -1.660849297752944E+01,  5.440974503296776E-02,  7.661171643520098E-03, -3.437122305922997E-03, -3.444869560466827E-03,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.906964798626321E+00, -1.661860250465165E+01,  5.414208353827303E-02,  7.765620770553440E-03, -2.503557244075489E-03,  3.461767937295337E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889894192088025E+00, -1.662884514632302E+01,  5.338232034608357E-02,  1.150358678381948E-03, -8.529908110840069E-04,  4.916354133220047E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872244329069183E+00, -1.663915484850175E+01,  5.290536768179946E-02, -1.914967292330297E-03, -1.043296221724583E-03, -1.349462270063502E-03,
