*******************************************************************************
 Revised: Sep 10, 2019              Portia / (Uranus)                       712

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 55 +- 6           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +8.3

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  66.097 (10^3)  Orbital period      =  0.513196 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.1
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:49:38 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Portia (712)                    {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992094886692813E+00, -1.656750866765301E+01,  5.519718495890460E-02,  4.090822569747803E-03, -2.944463295905221E-03, -5.347480066621586E-03,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975455493394170E+00, -1.657764023160634E+01,  5.529766286432513E-02,  8.637916877211223E-03, -3.048284485340275E-03,  1.012262542747807E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958652903669073E+00, -1.658791206581466E+01,  5.450191102382870E-02,  2.303516039334391E-03, -1.080148009674764E-03,  5.148192343382596E-03,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.940958759664701E+00, -1.659832769463219E+01,  5.392766808070198E-02, -1.676578097280168E-03, -1.143891222001336E-03, -1.583495835529912E-03,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.923487325941224E+00, -1.660855175802324E+01,  5.422976392675097E-02,  5.022844381261098E-03, -3.099762262606162E-03, -5.114193451697258E-03,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.906866058952499E+00, -1.661861090343893E+01,  5.423215502523088E-02,  8.402714604401739E-03, -2.852861735345697E-03,  1.931169423615647E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889926247028587E+00, -1.662883795389540E+01,  5.338418231339747E-02,  1.408430169344957E-03, -9.113688807776048E-04,  4.833798609307561E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872143483710513E+00, -1.663917663968889E+01,  5.291266853556923E-02, -1.344053854537111E-03, -1.324034214205787E-03, -2.475347186092542E-03,
