*******************************************************************************
 Revised: Sep 10, 2019            Rosalind / (Uranus)                       713

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 29 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  69.927 (10^3)  Orbital period      =  0.558459 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:49:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Rosalind (713)                  {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992489048514319E+00, -1.656736793256486E+01,  5.559209218592354E-02,  8.553150546997413E-03, -3.218355715500284E-03, -2.893069699598406E-04,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975481579478064E+00, -1.657763231642590E+01,  5.531751497203872E-02,  8.446616935517985E-03, -2.980726744661481E-03,  1.230584638646401E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958455358969594E+00, -1.658788562168743E+01,  5.500447649545238E-02,  7.909123541870268E-03, -2.663811750315959E-03,  2.640144308290361E-03,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.941399824067414E+00, -1.659812954922209E+01,  5.465738894120337E-02,  6.987135673002930E-03, -2.294529930260935E-03,  3.818501968608186E-03,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.924306582215536E+00, -1.660836498752676E+01,  5.428312532390625E-02,  5.759673214043991E-03, -1.904184006176196E-03,  4.664661073364452E-03,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.907167991894116E+00, -1.661859208657888E+01,  5.389264875756993E-02,  4.333154398848801E-03, -1.526237035083182E-03,  5.105438775299943E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889981189847354E+00, -1.662881013452948E+01,  5.349563817689125E-02,  2.829477358760559E-03, -1.192583772423454E-03,  5.103485550840906E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872745580757694E+00, -1.663901751016534E+01,  5.310471895243343E-02,  1.378420256636126E-03, -9.316762726234272E-04,  4.658813175596473E-03,
