*******************************************************************************
 Revised: Mar 27, 2009             Triton / (Neptune)                       801

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1352.6 +- 2.4   Density (g cm^-3)   = 2.054 +-0.032
  Mass (10^20 kg )        =  214.7 +- 0.7   Geometric Albedo    =  0.7  
                                            V(1,0)              = -1.24

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 354.76(10^3)    Orbital period      = 5.876854 d (R)
  Eccentricity, e         =                 Rotational period   = Synchronous
  Inclination, i  (deg)   = 156.834

 Fit to all reported measurements through 2008, as described in AJ (2009).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:52:51 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Triton (801)                    {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605567923859367E+01, -2.570749920163627E+01,  8.977777241386243E-01,  3.668294687853557E-04, -1.699893059031212E-03,  1.087659137053087E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604048473118625E+01, -2.571494347457888E+01,  8.973746731124587E-01,  7.421391847642453E-04, -3.227137277620605E-03, -5.762430405878091E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602637586222287E+01, -2.572154523212549E+01,  8.983351207603731E-01,  2.669645678422117E-03, -3.461453187769458E-03, -1.791928667090889E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601407800594957E+01, -2.572862043068939E+01,  8.997645761980805E-01,  4.576549212429342E-03, -2.210384096499530E-03, -1.567062345812977E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600283466919430E+01, -2.573709296202152E+01,  9.003854594813308E-01,  4.906888792016568E-03, -4.941661622849369E-04, -8.516800484793699E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.599102506845849E+01, -2.574674035404096E+01,  8.995799640602278E-01,  3.391720586534888E-03,  2.871716911286397E-04,  1.444114725674623E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597748724652461E+01, -2.575637534837775E+01,  8.978944208793600E-01,  1.268690373737390E-03, -5.031989182024327E-04,  1.772367242553276E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596246664943090E+01, -2.576481520747625E+01,  8.965933783692761E-01,  2.716310445963275E-04, -2.218872035663929E-03,  6.315790689039445E-04,
