*******************************************************************************
 Revised: Dec 14, 2018             Thalassa / (Neptune)                     804

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  40             Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +9.1 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 50.075(10^3)    Orbital period      = 0.311485 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.21
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:56:35 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Thalassa (804)                  {source: nep090_merged_DE435}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-20 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605480746716986E+01, -2.570545362225991E+01,  8.991752595030205E-01, -1.642796251931483E-03,  2.455068313609623E-03,  3.202011798700529E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604167245626972E+01, -2.571362187968178E+01,  8.990920594061621E-01, -2.902697537666788E-03,  6.538412335443136E-04,  3.065837670497365E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602854880662446E+01, -2.572181502857512E+01,  8.990033634624776E-01, -3.572614289408782E-03, -1.391806924484502E-03,  2.598589480289679E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601542609979699E+01, -2.573003501614248E+01,  8.989043165809266E-01, -3.580721104284486E-03, -3.464096302495640E-03,  1.850400059739150E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600229363056588E+01, -2.573828024025518E+01,  8.987912432630718E-01, -2.925268275562740E-03, -5.341832040565548E-03,  9.017811802779526E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.598914146577457E+01, -2.574654596073723E+01,  8.986618247773595E-01, -1.675651259251598E-03, -6.825493150586641E-03, -1.453963567896742E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597596116150147E+01, -2.575482461721058E+01,  8.985152672854598E-01,  3.475553428359443E-05, -7.756327019483199E-03, -1.178257633100915E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596274663159728E+01, -2.576310665750621E+01,  8.983524503594933E-01,  2.024359529973878E-03, -8.035659036632635E-03, -2.086746327709925E-03,
