*******************************************************************************
 Revised: Dec 14, 2018            Proteus  / (Neptune)                      808

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 218 x 208 x 201 Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +5.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 117.647(10^3)   Orbital period      = 1.122315 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.55

 Fir to all reported measurements through 2008, as described in AJ (2009).
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:58:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Proteus (808)                   {source: nep090_merged_DE435}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-20 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605445541380991E+01, -2.570607108204715E+01,  8.988055393088803E-01,  5.157006209248299E-03,  1.958381097559362E-03,  2.748715937499624E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604225357050601E+01, -2.571337910338167E+01,  8.994214600568052E-01, -6.764832149997950E-04, -4.516564690539245E-03,  2.698187464225740E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602835025854683E+01, -2.572279205324261E+01,  8.985641465657517E-01,  6.510033356111695E-03,  2.818667876838573E-04, -8.968318053914880E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601542446778370E+01, -2.572960911392017E+01,  8.990632317432370E-01, -1.455210367052661E-03, -2.456192235686596E-03,  1.348000172031869E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600230472205969E+01, -2.573928034831265E+01,  8.984289763042228E-01,  6.662510581236147E-03, -1.993798345984157E-03, -1.799620339058519E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.598856266857211E+01, -2.574603706528624E+01,  8.986149862009417E-01, -9.621655526671366E-04, -1.436019498844763E-04,  1.999122954808895E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597619355950352E+01, -2.575551020375347E+01,  8.983587546282267E-01,  5.568278580122200E-03, -4.158632248603074E-03, -2.151836158259405E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596179385890663E+01, -2.576265301921219E+01,  8.981313532004572E-01,  6.499644105616636E-04,  1.707301522601799E-03,  2.023073185149463E-03,
