*******************************************************************************
 Revised: Sep 28, 2012             Deimos / (Mars)                          402

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 7.8 x 6.0 x 5.1 Density (g cm^-3)   =  1.76 +- 0.30
  Mass (10^20 kg )        = 1.80 (10^-5)    Geometric Albedo    =  0.06 
                               (+- 0.15)    V(1,0)              = +12.89

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23.4632(10^3)   Orbital period      = 1.263 d
  Eccentricity, e         =  0.00033        Rotational period   = Synchronous
  Inclination, i  (deg)   =  1.791
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:14:51 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Deimos (402)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.100659339889311E-01, -1.458968420723045E+00, -2.785067877051510E-02,  1.409343663378455E-02,  7.502900923997668E-04, -1.332590893632144E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.753533882144375E-02, -1.456724840497001E+00, -2.960033598359457E-02,  1.428897367734760E-02,  1.530992737775902E-03, -1.838491892877769E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.508697222565162E-02, -1.451009840695252E+00, -3.127624394997470E-02,  1.446427347419537E-02,  2.273914406320092E-03, -2.430983848266666E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.076265509130626E-01, -1.441791877607907E+00, -3.287312938600834E-02,  1.460782352722039E-02,  2.974457076476738E-03, -3.064638448200320E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.799054104592961E-01, -1.429048550624295E+00, -3.438605191325789E-02,  1.470798534268222E-02,  3.630957432020136E-03, -3.690813001722068E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.517425209830959E-01, -1.412767278890827E+00, -3.581043249578119E-02,  1.475383704243946E-02,  4.244587771045597E-03, -4.261449519410717E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.229543189748804E-01, -1.392945917162448E+00, -3.714205911585573E-02,  1.473579771711345E-02,  4.818973808546251E-03, -4.732116180659991E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.933552753554135E-01, -1.369593293418659E+00, -3.837708878027341E-02,  1.464596880738518E-02,  5.359808940837899E-03, -5.063793980350492E-04,
