*******************************************************************************
 Revised: Jun 17, 2016             Io  / (Jupiter)                          501

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1821.3 +- 0.2   Density (g cm^-3)   =  3.530 +-.006
  Mass (10^20 kg )        =  893.3 +- 1.5   Geometric Albedo    =  0.6  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 421.769 (10^3)  Orbital period      = 1.769138 d
  Eccentricity, e         = 0.0041          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.036
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:15:33 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Io (501)                        {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.381321898487511E+00, -8.537013152970835E-01,  1.239623270295549E-01,  9.301734047075291E-03, -1.278401282822360E-02, -7.523563217600834E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.376932871063778E+00, -8.865297439336083E-01,  1.240608261723376E-01, -7.659154220048632E-05, -1.698454572497470E-02, -3.701243384963320E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.369299523938041E+00, -9.196897728596550E-01,  1.241856380972483E-01, -8.167328341118512E-03, -1.059690716286050E-02, -2.652100293905788E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.360347925282625E+00, -9.556428661729287E-01,  1.242191703015887E-01, -6.221004700345213E-03, -3.616722830506126E-04,  1.296355170420077E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.353189169146202E+00, -9.938182372115756E-01,  1.241348518992954E-01,  3.849161505753542E-03,  2.645364928004829E-03,  3.877582498544431E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.348742629172442E+00, -1.031170125504437E+00,  1.240281020476085E-01,  1.112700207358082E-02, -4.895692124945023E-03,  2.249192236171350E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.344705840808697E+00, -1.065501339709308E+00,  1.240125396941902E-01,  7.802322616967588E-03, -1.470283509773938E-02, -1.796247854874520E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.338100234270514E+00, -1.097840766157950E+00,  1.240962145889677E-01, -2.361333078312902E-03, -1.625270756763045E-02, -3.912703765032166E-04,
