*******************************************************************************
 Revised: Dec 04, 2019            Pasiphae / (Jupiter)                      508

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 18              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +10.33

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23500 (10^3)    Orbital period      = 735 d (retro)
  Eccentricity, e         =   0.378         Rotational period   = 
  Inclination, i  (deg)   =  148            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:18:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pasiphae (508)                  {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.396984022001573E+00, -1.012314752958869E+00,  2.545994321834102E-02,  1.619653946695591E-04, -6.619214413025795E-03,  1.751584257257225E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.396044066445442E+00, -1.045304042342407E+00,  2.638672962681783E-02,  2.141788505409643E-04, -6.576356216083994E-03,  1.956389134046966E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.394840548911009E+00, -1.078076849989119E+00,  2.741717695690013E-02,  2.674033174743697E-04, -6.532618957456298E-03,  2.166261834703659E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.393368210351358E+00, -1.110628739675073E+00,  2.855387050374977E-02,  3.217218423968075E-04, -6.487986396080211E-03,  2.381408816205852E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.391621354061623E+00, -1.142955196417516E+00,  2.979949974077258E-02,  3.772265579682626E-04, -6.442443355122036E-03,  2.602039796139363E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.389593798086251E+00, -1.175051632810297E+00,  3.115685963800028E-02,  4.340196411946502E-04, -6.395976141989746E-03,  2.828366650530192E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.387278822378954E+00, -1.206913398132557E+00,  3.262885083438927E-02,  4.922143106019043E-04, -6.348573203134543E-03,  3.060600053897760E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.384669110500266E+00, -1.238535790642035E+00,  3.421847861771094E-02,  5.519361065209974E-04, -6.300225860770981E-03,  3.298946804694387E-04,
