*******************************************************************************
 Revised: Dec 04, 2019            Carme  / (Jupiter)                        511

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 15              Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  
                                            V(1,0)              = +11.3 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 22600 (10^3)    Orbital period      = 692 d (retro)
  Eccentricity, e         =   0.207         Rotational period   = 
  Inclination, i  (deg)   =  163            Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:19:20 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Carme (511)                     {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.347715653821494E+00, -1.050645763699605E+00,  1.710017969958413E-01,  1.932481091373130E-04, -7.226197201213577E-03,  1.054910895046567E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.346639843246322E+00, -1.086673380735327E+00,  1.715066605726505E-01,  2.371667325209024E-04, -7.184784585538839E-03,  9.644124717042159E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.345343080652675E+00, -1.122492956435964E+00,  1.719660773950228E-01,  2.816289191665244E-04, -7.142980097558816E-03,  8.731215769349171E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.343822646625217E+00, -1.158102522643284E+00,  1.723796475908327E-01,  3.266356371555894E-04, -7.100780167078966E-03,  7.810232958060626E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.342075811854626E+00, -1.193500092856635E+00,  1.727469633991242E-01,  3.721898726966927E-04, -7.058181074731204E-03,  6.881011761030661E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.340099827183876E+00, -1.228683661683486E+00,  1.730676084508812E-01,  4.182966041366006E-04, -7.015178970551551E-03,  5.943371785915736E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.337891913442366E+00, -1.263651204499989E+00,  1.733411570972667E-01,  4.649628334486413E-04, -6.971770020893382E-03,  4.997122222644798E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.335449251317815E+00, -1.298400677404301E+00,  1.735671737869037E-01,  5.121976426595950E-04, -6.927950385089845E-03,  4.042059293755159E-05,
