*******************************************************************************
 Revised: Jan 23, 2020             Mimas / (Saturn)                         601
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 198.8   +- 1.5   Density (g/cm^3)  = 1.152 +- 0.027
  Mass (10^19 kg)         =   3.75           Geometric Albedo  = 0.6 
  GM (km^3/s^2)           =   2.503617       V(1,0)            = +3.3

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 185.54(10^3)    Orbital period     = 0.9424218 d
  Eccentricity, e         = 0.0196          Rotational period  = Synchronous
  Inclination, i  (deg)   = 1.572
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:22:02 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mimas (601)                     {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.893420169048609E+00,  4.837933717122374E+00, -3.986133334859917E-01, -8.286891709320631E-03, -7.787609635382673E-04,  3.230492916292412E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.877868155650487E+00,  4.859892035913249E+00, -3.975214365517233E-01,  4.726717482176608E-03,  2.164676387759565E-03,  8.590304874180939E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.863294112088208E+00,  4.884611034757492E+00, -3.979491011262494E-01, -3.727732332445218E-03,  1.209929778474926E-02, -3.772595085533090E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.845317884072871E+00,  4.909220821232134E+00, -3.981282182356166E-01, -1.074913983329228E-02,  2.192160870562323E-03,  1.864011673451115E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.828509574747537E+00,  4.931064597156782E+00, -3.969530970299350E-01,  2.178034628885074E-03, -9.609478256927197E-04,  2.685198573087104E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.814121287765871E+00,  4.954748646652892E+00, -3.969311143360421E-01,  5.444342732679865E-04,  1.120336709226014E-02, -3.662484553753889E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.796678369753800E+00,  4.979833441349696E+00, -3.974826379521634E-01, -1.139357866625978E-02,  5.772832689732091E-03,  1.323158320506364E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.778753448808041E+00,  5.001999524546499E+00, -3.964666557626122E-01, -1.702211591650602E-03, -2.425351209280121E-03,  3.758975306383901E-03,
