*******************************************************************************
 Revised: Jan 23, 2020            Enceladus / (Saturn)                      602
                           http://ssd.jpl.nasa.gov/?sat_phys_par
                             http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 252.3   +- 0.6   Density (g/cm^3) =  1.606 +- 0.012
  Mass (10^19 kg)         =  10.805          Geometric Albedo =  1.04
  GM (km^3/s^2)           =   7.210497       V(1,0)           =  +2.2

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 238.04(10^3)    Orbital period    = 1.370218 d
  Eccentricity, e         = 0.0047          Rotational period = Synchronous
  Inclination, i  (deg)   = 0.009
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:22:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Enceladus (602)                 {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.892813812787335E+00,  4.837314506103252E+00, -3.982055564154106E-01, -3.511039559093144E-03, -1.722670610775518E-03,  3.461898870499276E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.879270749988763E+00,  4.861954406844522E+00, -3.987208056289555E-01, -8.877044449353977E-03,  9.037124370438684E-03, -1.659859866655016E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.862482489733425E+00,  4.883178040389677E+00, -3.971584490732541E-01,  3.749053453240670E-03,  6.112776629512388E-03, -1.358667580419170E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.844328785888778E+00,  4.908742251878671E+00, -3.977648096550004E-01, -5.927595844475174E-03, -1.218460142971670E-03,  3.415812649840000E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.830804940720080E+00,  4.932429875077479E+00, -3.978647193372591E-01, -7.113805649127944E-03,  1.033894641948230E-02, -2.529293586760369E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.812930896010039E+00,  4.953855641868832E+00, -3.963850046740763E-01,  3.944337863478455E-03,  3.966237158969628E-03, -2.694698962484426E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.795348376485260E+00,  4.979695501437724E+00, -3.972735818640506E-01, -8.051913831984947E-03, -5.383346477747981E-05,  2.995181964743151E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.781535189320148E+00,  5.002416950618825E+00, -3.969219919794268E-01, -4.945582121911717E-03,  1.102423835303532E-02, -3.115181295953057E-03,
