*******************************************************************************
 Revised: Jan 23, 2020            Tethys  / (Saturn)                        603
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 536.3  +- 1.5     Density (g/cm^3)  =  0.956+- 0.008
  Mass (10^19 kg)        =  61.76 +- 0.11    Geometric Albedo  =  0.80
  GM (km^3/s^2)          =  41.21 +- 0.007   V(1,0)            = +0.7

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)=  294.670(10^3)    Orbital period    =  1.888 d
  Eccentricity, e        =     0.0001        Rotational period = Synchronous
  Inclination, i  (deg)  =     1.091
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:22:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Tethys (603)                    {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.892484823199906E+00,  4.837689367201194E+00, -3.983279946046602E-01, -4.703536707041081E-03, -8.508930359281043E-04,  3.117434887137653E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.879759763847702E+00,  4.861964732537708E+00, -3.987972509887546E-01, -7.451241228140259E-03,  9.379224499655952E-03, -1.861505026895752E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.862195642039465E+00,  4.882808255570773E+00, -3.969514872919443E-01,  3.260118028202107E-03,  4.798845142170838E-03, -7.541769973283750E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.844150223878795E+00,  4.909197522554551E+00, -3.979454144626479E-01, -6.785154650543797E-03, -1.307288281135813E-05,  2.904210618340234E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.831285068420481E+00,  4.932275437818769E+00, -3.978629382451586E-01, -5.588881354936964E-03,  1.026759446667052E-02, -2.551201178362013E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.812501810113118E+00,  4.953601758415594E+00, -3.962131089840576E-01,  2.984391134194337E-03,  2.817969319085517E-03,  2.854925168781230E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.795347677212118E+00,  4.980176578477990E+00, -3.974897916054466E-01, -8.461627993429614E-03,  1.369190594599640E-03,  2.363219168636360E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.781942664538288E+00,  5.002110308214346E+00, -3.968396800398579E-01, -3.458919620098293E-03,  1.051559015824988E-02, -2.938952942507323E-03,
