*******************************************************************************
 Revised: Sep 10, 2019            Belinda / (Uranus)                        714

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 34 +- 4           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  75.255 (10^3)  Orbital period      =  0.623525 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.0
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:50:18 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Belinda (714)                   {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992677092522735E+00, -1.656732573688838E+01,  5.559809700345415E-02,  8.132740114292108E-03, -2.853551337481451E-03,  1.658072170353972E-03,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975479725340135E+00, -1.657762753730125E+01,  5.535408783372008E-02,  8.285152011627002E-03, -2.961908972232444E-03,  1.086930087102657E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958270764215378E+00, -1.658791229964212E+01,  5.510334468889243E-02,  8.369211508847126E-03, -3.057554905271136E-03,  4.994905668622810E-04,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.941051193998030E+00, -1.659817983352165E+01,  5.484564696148912E-02,  8.383895173046309E-03, -3.139088235423813E-03, -9.571969977701446E-05,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.923822522499229E+00, -1.660842988912851E+01,  5.458040552159340E-02,  8.328626762546254E-03, -3.205189077800116E-03, -6.900780649625655E-04,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.906584568675838E+00, -1.661866231630058E+01,  5.430893114092238E-02,  8.204975944957579E-03, -3.255122409716840E-03, -1.275767147953784E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889338907746112E+00, -1.662887695322171E+01,  5.402989500050653E-02,  8.013845627747491E-03, -3.287885780024851E-03, -1.844112927975749E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872086038377654E+00, -1.663907351693318E+01,  5.374451719034709E-02,  7.758428134545880E-03, -3.303110421396397E-03, -2.387391661708444E-03,
