*******************************************************************************
 Revised: Dec 14, 2018              Naiad / (Neptune)                       803

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  29             Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +10.0

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 48.227(10^3)    Orbital period      = 0.294396 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 4.74
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:56:06 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Naiad (803)                     {source: nep090_merged_DE435}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-20 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605531516898054E+01, -2.570565813872711E+01,  8.993382640509142E-01,  8.484426378383587E-04, -8.099724116671807E-03, -1.591067707988740E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604208989129633E+01, -2.571384929780718E+01,  8.992097496045279E-01,  2.366838830090711E-04, -7.956020647297746E-03, -1.323934893774762E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602885744072708E+01, -2.572203455035769E+01,  8.990792766971525E-01, -3.513006401798192E-04, -7.750580570494685E-03, -1.044477810517070E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601561777248703E+01, -2.573021385314745E+01,  8.989469894996714E-01, -9.102899133691154E-04, -7.485002846493874E-03, -7.552538612868074E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600237121621317E+01, -2.573838732494936E+01,  8.988131105009673E-01, -1.433653636469523E-03, -7.162107378341451E-03, -4.599486603750498E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.598911824772297E+01, -2.574655522248893E+01,  8.986777502329567E-01, -1.917154710785124E-03, -6.784176511839277E-03, -1.606932068775838E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597585935230782E+01, -2.575471808668039E+01,  8.985407841345709E-01, -2.355296154151676E-03, -6.355521090306438E-03,  1.388005164414371E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596259462010159E+01, -2.576287631947959E+01,  8.984019503232523E-01, -2.745475491286579E-03, -5.879240918285429E-03,  4.365496519671461E-04,
