*******************************************************************************
 Revised: Dec 14, 2018             Galatea / (Neptune)                      806

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  79 +- 12       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 61.953(10^3)    Orbital period      = 0.428745 d
  Eccentricity, e         = 0.0             Rotational period   = 
  Inclination, i  (deg)   = 0.05
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:57:19 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Galatea (806)                   {source: nep090_merged_DE435}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-20 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605467448383800E+01, -2.570578785919049E+01,  8.990014872097032E-01,  4.635895832559603E-03,  3.961850886456446E-03,  1.172658936108283E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604212699718096E+01, -2.571419624252199E+01,  8.990703680585084E-01,  6.112603486957554E-03, -5.713404955589179E-03, -2.894006302489555E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602864180427565E+01, -2.572174980158153E+01,  8.990637197109793E-01, -2.993120070387297E-03, -2.971272629555321E-03,  1.785968165615054E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601502762349601E+01, -2.573046313711652E+01,  8.985881476974557E-01,  5.099987485269598E-03,  3.826459282990302E-03,  9.354517307301669E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600247281904464E+01, -2.573879157906662E+01,  8.986798496928023E-01,  5.703974799062991E-03, -6.054355093713018E-03, -2.851063763873748E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.598892039043070E+01, -2.574634313218125E+01,  8.986440893705302E-01, -3.021874468061596E-03, -2.466289126770997E-03,  1.977376074350566E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597534414995906E+01, -2.575507449261319E+01,  8.981749289290262E-01,  5.546156548653773E-03,  3.647642341744712E-03,  6.895071999075775E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596277838370819E+01, -2.576332219583003E+01,  8.982882777563032E-01,  5.273187830470429E-03, -6.359847340596493E-03, -2.786054788039924E-03,
