*******************************************************************************
 Revised: Jun 17, 2016           Amalthea / (Jupiter)                       505

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 131 x 73 x 67   Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =  0.06 
                                            V(1,0)              = +7.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 181.3 (10^3)    Orbital period      = 0.498179 d
  Eccentricity, e         = 0.003           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.40 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:16:58 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Amalthea (505)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.380257030650990E+00, -8.524612801016890E-01,  1.240298049581612E-01,  1.470359666386963E-02, -1.410648290566817E-02, -1.067634401953760E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.374413947566554E+00, -8.880489025070789E-01,  1.240483683741917E-01,  1.598849131530620E-02, -1.081654774766851E-02, -1.818578833855935E-06,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.368311333727127E+00, -9.235375781062132E-01,  1.240628341134348E-01,  1.649674922308338E-02, -7.332839066355290E-03,  1.162432595638602E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.361961402493943E+00, -9.589183180066491E-01,  1.240739423163697E-01,  1.619756393233529E-02, -3.835893309425771E-03,  2.429132198336132E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.355380315514889E+00, -9.941915266646206E-01,  1.240820856299652E-01,  1.511194606944916E-02, -5.096860304055648E-04,  3.703427263624885E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.348582919165978E+00, -1.029365040357810E+00,  1.240872916536953E-01,  1.330289846849473E-02,  2.472454473905109E-03,  4.880569252342992E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.341580966752275E+00, -1.064441963809394E+00,  1.240895432658133E-01,  1.086455620451388E-02,  4.952827038388979E-03,  5.840036791546188E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.334384074105080E+00, -1.099428639437036E+00,  1.240884535702146E-01,  7.928158140979349E-03,  6.804653735713192E-03,  6.467076906214569E-04,
