*******************************************************************************
 Revised: Dec 04, 2019           Himalia  / (Jupiter)                       506

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 85 +- 10         Density (g cm^-3)   =              
  GM (km^3/s^2)           = 0.136342         Geometric Albedo    =  0.03
                                             V(1,0)              = +8.14

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 11480 (10^3)     Orbital period      = 250.5662 d
  Eccentricity, e         =   0.163          Rotational period   = 0.4 d 
  Inclination, i  (deg)   =  27.5 (inv pln)  Local invar ref. pln= Sun
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:17:38 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Himalia (506)                   {source: jup343_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.378672891986431E+00, -9.251231895997568E-01,  1.326420526978736E-01,  2.794178545523954E-03, -6.809181031032616E-03, -9.540586850551380E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.364614414200341E+00, -9.585001373309544E-01,  1.278073032144723E-01,  2.823910500861769E-03, -6.539430141258796E-03, -9.772142342334884E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.350490572281408E+00, -9.904993726680156E-01,  1.228986654841759E-01,  2.819574252905956E-03, -6.258868222109302E-03, -9.831114269447895E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.336482753598479E+00, -1.021079989259091E+00,  1.180100458447020E-01,  2.776810593278156E-03, -5.973078793136199E-03, -9.686973866903307E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.322792738768378E+00, -1.050234120153601E+00,  1.132504801886899E-01,  2.691929626055909E-03, -5.689740877676647E-03, -9.310262829713084E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.309637576291801E+00, -1.077997887741652E+00,  1.087426814655194E-01,  2.562656142939040E-03, -5.418766312982220E-03, -8.676501412672056E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.297240228224539E+00, -1.104462194565914E+00,  1.046192757106310E-01,  2.389061106330481E-03, -5.172081947536240E-03, -7.771497422125460E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.285815498489819E+00, -1.129781147950587E+00,  1.010161740706413E-01,  2.174480067625551E-03, -4.962859853202951E-03, -6.597285460356013E-04,
