*******************************************************************************
 Revised: Dec 02, 2013            Adrastea / (Jupiter)                      515

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  10 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.05-0.10
                                            V(1,0)              = +12.4 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 128.98 (10^3)   Orbital period      = 0.29826 d
  Eccentricity, e         =  ~ 0            Rotational period   = Synchronous 
  Inclination, i  (deg)   =  ~ 0 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:20:39 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Adrastea (515)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.380423700780670E+00, -8.518611672436305E-01,  1.240422685229046E-01,  1.117018355419444E-02, -2.220682798183706E-02, -3.882559211611669E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.374662744287270E+00, -8.862014896767182E-01,  1.241070186916235E-01, -1.302691975139014E-02, -1.843810524260524E-02, -6.115009530117810E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.367673006530843E+00, -9.217324631294562E-01,  1.241364253806801E-01, -1.136010438260595E-02,  6.043202494397877E-03,  2.862491827933286E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.361574751897521E+00, -9.583056849046672E-01,  1.241047302828521E-01,  1.322699282620078E-02,  6.549530338340236E-03,  6.610027697257403E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.356413806028447E+00, -9.937942728464839E-01,  1.240873959841709E-01,  1.592320619926599E-02, -1.781987900787032E-02, -1.735511219509398E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.350077523281370E+00, -1.027973029386329E+00,  1.241232359251443E-01, -8.102616987721089E-03, -2.256466222402261E-02, -6.935183494481631E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.342151866069380E+00, -1.062923029978117E+00,  1.241436038143080E-01, -1.488990758011503E-02,  1.006248245787896E-03,  5.275078892959327E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.334679213674550E+00, -1.099231652610340E+00,  1.240976218096345E-01,  8.034185418071311E-03,  9.866419815768235E-03,  7.033356252366496E-04,
