*******************************************************************************
 Revised: Dec 02, 2013             Metis  / (Jupiter)                       516

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             =  20 +- 10       Density (g cm^-3)   =              
  Mass (10^20 kg )        =                 Geometric Albedo    =   0.05-0.10
                                            V(1,0)              = +10.8 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 127.96 (10^3)   Orbital period      = 0.294780 d
  Eccentricity, e         =  < 0.004        Rotational period   = Synchronous 
  Inclination, i  (deg)   =  ~ 0 
******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:20:59 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Metis (516)                     {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.379169911431700E+00, -8.507174515670344E-01,  1.241016126744805E-01, -1.310819078843971E-02,  4.322575400894164E-03,  2.047200232132226E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.373444452918566E+00, -8.863537262680697E-01,  1.241193418242285E-01, -9.950831950595042E-03,  7.366098337096879E-03,  3.596181527400541E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.367513379310850E+00, -9.219828289148352E-01,  1.241296878215455E-01, -6.158599388310819E-03,  9.594247360194786E-03,  4.946760730634818E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.361380357021488E+00, -9.575877564108961E-01,  1.241331275868861E-01, -1.938175561022008E-03,  1.087528621453917E-02,  6.016575388656343E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.355050376325156E+00, -9.931560075320052E-01,  1.241299755632387E-01,  2.471097807567844E-03,  1.112310354502970E-02,  6.735785393774060E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.348525355375239E+00, -1.028678493959764E+00,  1.241204695775440E-01,  6.809255777806817E-03,  1.032208924504199E-02,  7.058575100115782E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.341802352770708E+00, -1.064138609066890E+00,  1.241051575489819E-01,  1.082262380866734E-02,  8.529429538222834E-03,  6.968954242800130E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.334875965939366E+00, -1.099522059227884E+00,  1.240845571519432E-01,  1.429400799618007E-02,  5.859613443301532E-03,  6.478952512763026E-04,
