*******************************************************************************
 Revised: Jan 23, 2020              Telesto  / (Saturn)                     613
                           http://ssd.jpl.nasa.gov/?sat_phys_par
                             http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 15 x 12.5 x 7.5 Density (g cm^-3)   =  1.0
  Mass (10^22 g)          = 0.0007194       Geometric Albedo    =  1.0  
  GM (km^3/s^2)           = 0.00048         V(1,0)              = +9.1 

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km) = 294.710(10^3)   Orbital period      = 1.887802 d
  Eccentricity, e         = 0.0002          Rotational period   = 
  Inclination, i  (deg)   = 1.180   

 NOTE: The IAU rotational spin-pole model (defining latitude and logitude) is 
       valid only near the time of the 1981 Voyager flybys; an updated
       Cassini-based coordinate grid model is not yet published by the IAU.

      Trajectory is valid only for the interval spanned by Cassini data.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:28:07 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Telesto (613)                   {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  7.893027838644318E+00,  4.835998566330460E+00, -3.975382033704111E-01,  1.464254710812674E-03,  4.614525637438682E-04,  1.682969344053498E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.877947962761767E+00,  4.862653750250559E+00, -3.989209999022233E-01, -9.671746834866509E-03,  4.077910946250323E-03,  1.100191309060370E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.863809365523239E+00,  4.883676416422602E+00, -3.975910226176007E-01, -2.599692360968643E-04,  9.794949489608724E-03, -2.845525169993096E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  7.844040303900505E+00,  4.907474633281515E+00, -3.970608776798765E-01, -3.798205892994103E-04, -6.614768366553201E-04,  2.439017049324181E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.829805079103792E+00,  4.933456925133637E+00, -3.982768426709727E-01, -9.695968591383901E-03,  6.046611917307421E-03,  8.737206792130092E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.814373206781485E+00,  4.953916948777286E+00, -3.966025599512570E-01,  1.472733954789406E-03,  8.486783502066601E-03, -2.387792823209305E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.794599404930335E+00,  4.978619680900524E+00, -3.966133376082588E-01, -2.557709693117367E-03, -1.158699056966321E-03,  2.911765501060247E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.780963797436292E+00,  5.003646289004321E+00, -3.974930006994319E-01, -8.972860583686713E-03,  7.859344042511238E-03, -9.263245128302710E-04,
