*******************************************************************************
 Revised: Jun 17, 2016             Miranda / (Uranus)                       705

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 240x234.2x232.9   Density (g cm^-3)   =  1.20 +- 0.14
  Mass (10^20 kg )      =  0.659 +- 0.075   Geometric Albedo    =  0.27 
                                            V(1,0)              = +3.6 

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 129.8 (10^3)    Orbital period      =  1.413 d
  Eccentricity, e         =   0.0027        Rotational period   = Synchronous
  Inclination, i  (deg)   =   4.22
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:38:07 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Miranda (705)                   {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.826457743250313E+01, -1.165696045478950E+00,  2.329685950991528E-01,  1.097181427392120E-03, -5.104870775355859E-03, -3.636342902946015E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.826513126661529E+01, -1.185918122771380E+00,  2.325994541530179E-01,  2.234902664308742E-04, -3.277976338330298E-03,  3.755256354931634E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.826232112147827E+01, -1.206867935615748E+00,  2.323927587375537E-01, -6.418048789251971E-04, -4.722754745270771E-03, -3.721752618634938E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.826273922497847E+01, -1.226934810197988E+00,  2.328051537622521E-01,  1.940254123457921E-03, -3.741759585939637E-03,  3.428503411533040E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.826015468006953E+01, -1.247985519170071E+00,  2.318495556965227E-01, -2.192118995042333E-03, -4.205478996613687E-03, -3.007850713851805E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.826009532432263E+01, -1.268000027344401E+00,  2.329346228111816E-01,  3.283926215420230E-03, -4.286579198617495E-03,  2.354220900515320E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.825803933146621E+01, -1.289040082474073E+00,  2.314166132439612E-01, -3.218560818513307E-03, -3.665120642577369E-03, -1.649462772243481E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.825725554008356E+01, -1.309115931032112E+00,  2.329198397388449E-01,  3.966735533817583E-03, -4.792669049300120E-03,  7.692831844396461E-04,
