*******************************************************************************
 Revised: Sep 10, 2019            Desdemona / (Uranus)                      710

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 29 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +9.8

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  62.659 (10^3)  Orbital period      =  0.473651 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.2
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:49:04 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Desdemona (710)                 {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992169659764638E+00, -1.656752935723867E+01,  5.493071941721608E-02,  6.944064895895575E-04, -2.125371507327034E-03, -4.887077113877948E-03,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975642646301562E+00, -1.657761604826370E+01,  5.518067571874587E-02,  7.618501351904071E-03, -2.477166711920839E-03,  3.575464948806665E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.958096304273990E+00, -1.658807258698516E+01,  5.421984931327292E-02, -1.692852008773049E-03, -1.198345224083224E-03, -2.015285739854677E-03,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.941062295284736E+00, -1.659818943502313E+01,  5.476197300002627E-02,  8.863467690879824E-03, -3.232262625369188E-03,  7.705746169101197E-06,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.924047954712700E+00, -1.660850277315108E+01,  5.369478750623486E-02, -1.620425284278936E-03, -6.823954766656562E-04,  1.798415186242233E-03,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.906446388048902E+00, -1.661871593144700E+01,  5.414341962284140E-02,  7.497461315898313E-03, -3.418108914222838E-03, -3.588678733358795E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889888524642490E+00, -1.662884948253781E+01,  5.335760319266888E-02,  8.793962083784276E-04, -8.207185063548167E-04,  4.724240567856186E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.871921732753881E+00, -1.663916133644459E+01,  5.337133430911364E-02,  4.179967540086502E-03, -2.942909505013745E-03, -5.483911440328244E-03,
