*******************************************************************************
 Revised: Sep 10, 2019             Puck / (Uranus)                          715

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = 77 +- 3           Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  +7.5

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) =  86.004 (10^3)  Orbital period      =  0.761832 d
  Eccentricity, e         =   0.000         Rotational period   = 
  Inclination, i  (deg)   =   0.3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:50:33 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Puck (715)                      {source: ura115}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.992475889400771E+00, -1.656735856908417E+01,  5.569844200879039E-02,  8.042065338359151E-03, -3.122830189313987E-03, -3.136318348328308E-04,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.975642132357962E+00, -1.657772708752252E+01,  5.435563675357677E-02, -6.749150373842651E-04, -8.676133897350662E-04,  2.002238862344977E-03,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.957799131617644E+00, -1.658803527491147E+01,  5.498441487073369E-02,  6.390059343702818E-03, -3.184160867727663E-03, -3.581910088521878E-03,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.941606789128491E+00, -1.659814985398480E+01,  5.416472214356714E-02,  2.079879536677779E-03, -1.151602987538003E-03,  4.402283463697453E-03,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.923340528181697E+00, -1.660861126600902E+01,  5.404508992597689E-02,  2.971644706374900E-03, -2.570408253344475E-03, -4.742406195406578E-03,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.907211933319052E+00, -1.661855598716918E+01,  5.408231004290761E-02,  5.643155694931192E-03, -1.970376796174371E-03,  4.144804414611175E-03,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.889175700039560E+00, -1.662903636981933E+01,  5.313024095652488E-02, -1.691620245351235E-04, -1.644931421124873E-03, -3.103229960659692E-03,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.872482999144999E+00, -1.663897473678725E+01,  5.384595327759278E-02,  7.890990014318176E-03, -2.830605924269758E-03,  1.381599404501297E-03,
