*******************************************************************************
 Revised: Jan 08, 2014           Sycorax / (Uranus)                         717

           http://ssd.jpl.nasa.gov/sat_props.html  (physical properties)
           http://ssd.jpl.nasa.gov/sat_elem.html   (mean elements)

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)           = ~60               Density (g cm^-3)   =
  Mass (10^20 kg )      =                   Geometric Albedo    =   0.07 
                                            V(1,0)              =  

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 122 (10^5)      Orbital period      = 1290 days
  Eccentricity, e         =   0.5           Rotational period   = 
  Inclination, i  (deg)   =  97.8 (retro)
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:51:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sycorax (717)                   {source: ura112}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1982-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 2052-Mar-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2445000.500000000, A.D. 1982-Jan-31 00:00:00.0000,      52.184797, -8.911275055651934E+00, -1.649973537594202E+01,  2.485437291086935E-02,  3.501456747944003E-03, -2.318192762571503E-03, -1.203119743577844E-04,
2445005.500000000, A.D. 1982-Feb-05 00:00:00.0000,      52.184921, -8.893772687156785E+00, -1.651132526522198E+01,  2.425650126438631E-02,  3.499479146331361E-03, -2.317758567359587E-03, -1.188309977597739E-04,
2445010.500000000, A.D. 1982-Feb-10 00:00:00.0000,      52.185036, -8.876280380368831E+00, -1.652291291720034E+01,  2.366612041768861E-02,  3.497431834940813E-03, -2.317297721209895E-03, -1.173155295521810E-04,
2445015.500000000, A.D. 1982-Feb-15 00:00:00.0000,      52.185144, -8.858798487330292E+00, -1.653449819676570E+01,  2.308340472688342E-02,  3.495313408132332E-03, -2.316809472063355E-03, -1.157648054335688E-04,
2445020.500000000, A.D. 1982-Feb-20 00:00:00.0000,      52.185244, -8.841327367237104E+00, -1.654608096490255E+01,  2.250853244803507E-02,  3.493122409826565E-03, -2.316293009830859E-03, -1.141780294201120E-04,
2445025.500000000, A.D. 1982-Feb-25 00:00:00.0000,      52.185337, -8.823867386695303E+00, -1.655766107839398E+01,  2.194168589834608E-02,  3.490857331755441E-03, -2.315747463409971E-03, -1.125543728750238E-04,
2445030.500000000, A.D. 1982-Mar-02 00:00:00.0000,      52.185419, -8.806418919986468E+00, -1.656923838950646E+01,  2.138305162258400E-02,  3.488516611674219E-03, -2.315171896565066E-03, -1.108929731698444E-04,
2445035.500000000, A.D. 1982-Mar-07 00:00:00.0000,      52.185488, -8.788982349342033E+00, -1.658081274565369E+01,  2.083282056661625E-02,  3.486098631591847E-03, -2.314565303704827E-03, -1.091929322547757E-04,
