*******************************************************************************
 Revised: Jan 26, 2018          Charon / (Pluto)                            901 

 Fit to all available observations including New Horizons encounter tracking.

 SATELLITE GENERAL PHYSICAL PROPERTIES (PLU042, IAU2009, and derived values):
  GM (km^3/s^2)           = 102.271      Density (g cm^-3)      = 1.65
  Radius (km)             = 605          Geometric Albedo       = 0.372 +- .012
  Mass (10^21 kg )        =   1.53       Hill Sphere radius, km = 664
  Surface gravity (cm/s^2)=  27.9        Escape velocity, km/s  = 0.581

 SATELLITE GENERAL ORBITAL DATA:
  Semi-major axis, a (km) =  19596       Orbital period, days   = 6.38723 
  Eccentricity, e         =  0.0002 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:58:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Charon (901)                    {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.048339782698761E+01,  2.744343241801056E+00,  8.523286618457028E+00,  3.312345938792924E-04, -3.245460504848833E-03,  3.538791485389155E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.048172442819221E+01,  2.727758792382980E+00,  8.524459310926954E+00,  2.433401113091198E-04, -3.357172071880063E-03,  3.303006824848319E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.048000190113069E+01,  2.711300144230020E+00,  8.525759300803649E+00,  2.831091776392707E-04, -3.398789414653299E-03,  1.965615043317236E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.047839078955007E+01,  2.694796967342060E+00,  8.527193414687718E+00,  3.895747333771416E-04, -3.304260489838672E-03,  1.647642699056648E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.047686320137869E+01,  2.678148736300376E+00,  8.528551942924709E+00,  3.955820186676497E-04, -3.224185732269725E-03,  2.848787374689683E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.047524718072236E+01,  2.661484697649144E+00,  8.529742323741372E+00,  2.938694672674774E-04, -3.286099737460273E-03,  3.651811126994028E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.047350024762770E+01,  2.644958200635353E+00,  8.530936267918038E+00,  2.484203811755739E-04, -3.391725381014622E-03,  2.773786532779282E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.047177689218841E+01,  2.628502901750494E+00,  8.532296694199925E+00,  3.337900039104659E-04, -3.373270789542134E-03,  1.604313685832587E-04,
