*******************************************************************************
 Revised: Jul 13, 2013          Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:11:01 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -5.379706768553937E+00, -8.513835102461086E-01,  1.240700408133729E-01,  1.092012594237338E-03, -7.102298015414846E-03,  4.740302872085944E-06,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -5.374123897568890E+00, -8.868752847823440E-01,  1.240909098072925E-01,  1.141126601742990E-03, -7.094357883271027E-03,  3.607279080598069E-06,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -5.368295596109000E+00, -9.223265502280408E-01,  1.241061134849468E-01,  1.190184465821219E-03, -7.086094440935110E-03,  2.474183749555402E-06,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -5.362222149664985E+00, -9.577356909651402E-01,  1.241156515993852E-01,  1.239184277384859E-03, -7.077508062940873E-03,  1.341061176428434E-06,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -5.355903853267786E+00, -9.931010932688503E-01,  1.241195241251209E-01,  1.288124129438513E-03, -7.068599132061865E-03,  2.079556488448655E-07,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -5.349341011478037E+00, -1.028421145348856E+00,  1.241177312580771E-01,  1.337002117099772E-03, -7.059368039316332E-03, -9.250885571375492E-07,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.342533938375527E+00, -1.063694237390566E+00,  1.241102734155239E-01,  1.385816337586030E-03, -7.049815183978274E-03, -2.058027179059784E-06,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.335482957548789E+00, -1.098918761596426E+00,  1.240971512360060E-01,  1.434564890172617E-03, -7.039940973585373E-03, -3.190815969534268E-06,
