*******************************************************************************
 Revised: Jul 31, 2013           Uranus Barycenter                            7
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Uranus system. The point about 
 which Uranus and its satellites revolve. See 799 for Uranus center.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:11:44 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus Barycenter (7)           {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.826540225387236E+01, -1.165559729880933E+00,  2.327315001863967E-01,  2.211903910156147E-04, -4.108739390935401E-03, -1.815006388319727E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.826428526802696E+01, -1.186102719199368E+00,  2.326406093743159E-01,  2.256038767243495E-04, -4.108455512973171E-03, -1.820625696228085E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.826314621581456E+01, -1.206644276776589E+00,  2.325494376567048E-01,  2.300169367669223E-04, -4.108166694565448E-03, -1.826242608279089E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.826198509937921E+01, -1.227184377912103E+00,  2.324579851535442E-01,  2.344295648593267E-04, -4.107872936406290E-03, -1.831857116951375E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.826080192089635E+01, -1.247722997908899E+00,  2.323662519851911E-01,  2.388417547202967E-04, -4.107574239195357E-03, -1.837469214730094E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.825959668257286E+01, -1.268260112073479E+00,  2.322742382723779E-01,  2.432535000713073E-04, -4.107270603637917E-03, -1.843078894106735E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.825836938664695E+01, -1.288795695715885E+00,  2.321819441362123E-01,  2.476647946365741E-04, -4.106962030444841E-03, -1.848686147578963E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.825712003538825E+01, -1.309329724149728E+00,  2.320893696981766E-01,  2.520756321430861E-04, -4.106648520332629E-03, -1.854290967651884E-05,
