*******************************************************************************
 Revised: December 14, 2018           Neptune                               899
 
 PHYSICAL DATA (update 2018-Aug-15):
  Mass x10^24 (kg)      = 102.413         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.5       GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:06:53 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.605503564583885E+01, -2.570569900901701E+01,  8.991808414610387E-01,  2.643245206931977E-03, -1.644770757840951E-03, -2.724712704054730E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.604182007775912E+01, -2.571391966681454E+01,  8.990457063898981E-01,  2.644019712787553E-03, -1.643085146886426E-03, -2.694738900765554E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.602860002021011E+01, -2.572213366634380E+01,  8.989100476070081E-01,  2.644469322486611E-03, -1.641669138015975E-03, -2.674125932978661E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.601537532518634E+01, -2.573034073053933E+01,  8.987740519734495E-01,  2.644922535638856E-03, -1.640562929092928E-03, -2.683600063438928E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.600214615419032E+01, -2.573854066422516E+01,  8.986379863634021E-01,  2.645704334852175E-03, -1.639553430376885E-03, -2.719328113422158E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.598891284924368E+01, -2.574673351166047E+01,  8.985019798483220E-01,  2.646870890969666E-03, -1.638348229113515E-03, -2.756045224979767E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.597567565653769E+01, -2.575491951861348E+01,  8.983659183555608E-01,  2.648163707093738E-03, -1.636814315372419E-03, -2.767676601796553E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.596243452830995E+01, -2.576309892991036E+01,  8.982295378029632E-01,  2.649220648992172E-03, -1.635086699604600E-03, -2.748624452601103E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.594918916471570E+01, -2.577127178775211E+01,  8.980926397005606E-01,  2.649871594279309E-03, -1.633458164560780E-03, -2.718336844689199E-05,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.593593926146755E+01, -2.577943789547123E+01,  8.979552531973563E-01,  2.650277262731769E-03, -1.632140244281636E-03, -2.705432235400870E-05,
