*******************************************************************************
 Revised: Jul 31, 2013          Mars Barycenter                               4
 
 Dynamical point:
 ---------------
 The common center of mass about which the Martian system (planet and
 satellites Phobos and Deimos) revolve.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:10:39 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars Barycenter (4)             {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.101860771487983E-01, -1.459057540377767E+00, -2.780368443855925E-02,  1.448165305704757E-02,  1.104730092219359E-04, -3.547364910937510E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.767093254578131E-02, -1.456779718419911E+00, -2.954386848011146E-02,  1.451875472366419E-02,  8.019212951323664E-04, -3.411713782675477E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.494419799651238E-02, -1.451027102541418E+00, -3.121375170356587E-02,  1.452149594712629E-02,  1.500100974740303E-03, -3.266184980333053E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.074853132662987E-01, -1.441770467550022E+00, -3.280843392361490E-02,  1.448901218826689E-02,  2.203221893271954E-03, -3.110940466387641E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.797743253388510E-01, -1.428989797775172E+00, -3.432310715736824E-02,  1.442053532627181E-02,  2.909391027200529E-03, -2.946187455647352E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.516295721642537E-01, -1.412674790754120E+00, -3.575307878014310E-02,  1.431540587515668E-02,  3.616616990794043E-03, -2.772180488067458E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.228663913646794E-01, -1.392825334661299E+00, -3.709379564387941E-02,  1.417308522150866E-02,  4.322816045849710E-03, -2.589223195860210E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.932977548844817E-01, -1.369451951780822E+00, -3.834086898935042E-02,  1.399316769448153E-02,  5.025819684287745E-03, -2.397669700805233E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  4.627349631358514E-01, -1.342576200035408E+00, -3.949009995121330E-02,  1.377539225723458E-02,  5.723383828243089E-03, -2.197925577859725E-04,
