*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Jun 19 18:04:59 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.205272339283337E-01, -1.009136231238332E+00, -1.260793766405191E-04,  1.680396477807132E-02,  1.907918363906154E-03,  3.446245526221442E-07,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.040423761279095E-01, -9.960769758036196E-01, -1.260758342985615E-04,  1.658437471630464E-02,  3.313307043255791E-03, -2.708972073308697E-07,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.861855510962825E-01, -9.760273006489082E-01, -1.273865965366820E-04,  1.625342193011660E-02,  4.703464894769826E-03, -1.133845262840536E-07,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  3.663773933149054E-01, -9.490860814692076E-01, -1.263159541824724E-04,  1.580327261893278E-02,  6.067296303487939E-03,  5.752488198137665E-07,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  4.440201245771521E-01, -9.154250522511521E-01, -1.218369836324451E-04,  1.523443743689363E-02,  7.388731899406755E-03,  1.146044376838348E-06,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  5.185353895077180E-01, -8.752944988751233E-01, -1.159310278717918E-04,  1.455398791705196E-02,  8.652872165825080E-03,  1.086181719583829E-06,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  5.893957146249287E-01, -8.290085027577765E-01, -1.120824223327478E-04,  1.377497920540247E-02,  9.850244380014148E-03,  4.094373488092647E-07,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  6.561382505957055E-01, -7.768988150134033E-01, -1.111082849797229E-04,  1.290698081204403E-02,  1.098332861433805E-02,  1.381964577292934E-07,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  7.183083159505260E-01, -7.192852239699788E-01, -1.092902663742690E-04,  1.194505754229128E-02,  1.204994704797288E-02,  6.743957011715141E-07,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  7.754318737448569E-01, -6.565335356188058E-01, -1.041193224938521E-04,  1.088918194341033E-02,  1.303610877801270E-02,  1.363472110779943E-06,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  8.270562446504264E-01, -5.890816221662533E-01, -9.643931051278226E-05,  9.747190262618114E-03,  1.392786546481925E-02,  1.591139444765817E-06,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  8.727833236183817E-01, -5.174302201679630E-01, -8.948400668723235E-05,  8.533067591149175E-03,  1.471475290782372E-02,  1.083782485809819E-06,
