ParameterName,GM_AU3_per_Day2
GM1,0.491248045036476002E-10
GM2,0.724345233264411972E-09
GM3,0.888769244398909945E-09
GM4,0.954954869555077051E-10
GM5,0.282534582597155026E-06
GM6,0.845970607324503063E-07
GM7,0.129202657962907993E-07
GM8,0.152435734788511015E-07
GM9,0.217509908677484994E-11
GMS,0.295912208285591095E-03
GMM,0.109318946210771416E-10
GMB,0.899701139019987137E-09
MA0001,0.139644308657643000E-12
MA0002,0.301597588568080765E-13
MA0003,0.409618864402603550E-14
MA0004,0.385474760122374893E-13
MA0005,0.424370454577529189E-15
MA0006,0.130119699944223952E-14
MA0007,0.223946117534744204E-14
MA0008,0.782148205869325533E-15
MA0009,0.792979726349860688E-15
MA0010,0.131273528577048172E-13
MA0011,0.107169062481436067E-14
MA0012,0.269304115276300658E-15
MA0013,0.168911054393197645E-14
MA0014,0.105625132711640506E-14
MA0015,0.472743739090921252E-14
MA0016,0.328588487093502852E-14
MA0017,0.208766556290273831E-15
MA0018,0.619330750232280893E-15
MA0019,0.119623794223935983E-14
MA0020,0.260362610141628811E-15
MA0021,0.252905651117492071E-15
MA0022,0.120228117642303947E-14
MA0023,0.111924287914594940E-15
MA0024,0.170660228822111801E-14
MA0026,0.112858565246355651E-15
MA0028,0.472431941312909303E-15
MA0029,0.198728704789217720E-14
MA0030,0.148125460213623096E-15
MA0031,0.280521539120512653E-14
MA0032,0.124645226765121153E-15
MA0034,0.255481644720630838E-15
MA0035,0.239847244056725928E-15
MA0036,0.209060380943405506E-15
MA0037,0.280955095311622569E-15
MA0038,0.146042829761746219E-15
MA0039,0.140545290874562247E-14
MA0040,0.339053595762940021E-15
MA0041,0.932883373010097843E-15
MA0042,0.249047943293247465E-15
MA0043,0.584955124057432711E-16
MA0044,0.540069743990503638E-16
MA0045,0.845393894414769344E-15
MA0047,0.409674686335228338E-15
MA0048,0.251893421416739096E-14
MA0049,0.515284868145900154E-15
MA0050,0.175160003924557164E-15
MA0051,0.683966013277579481E-15
MA0052,0.358363241593960885E-14
MA0054,0.525631350377424364E-15
MA0056,0.310790007459163744E-15
MA0057,0.248672944456986726E-15
MA0058,0.895398983798792601E-16
MA0059,0.681280321746177969E-15
MA0060,0.399842950975052802E-16
MA0062,0.116068220919337691E-15
MA0063,0.923434901493265750E-16
MA0065,0.218697423291617042E-14
MA0068,0.361340585722223274E-15
MA0069,0.540805746766985696E-15
MA0070,0.192969793741406268E-15
MA0071,0.118116103498501969E-15
MA0072,0.119700766151228637E-15
MA0074,0.221576803574751840E-15
MA0075,0.359365432096630897E-16
MA0076,0.831220000000000025E-15
MA0077,0.477061679868229659E-16
MA0078,0.520953400626739038E-15
MA0079,0.532680612161719974E-16
MA0080,0.136195571398562780E-15
MA0081,0.114500520094632067E-15
MA0082,0.604377896818437742E-16
MA0083,0.894185213358006181E-16
MA0084,0.113944620687586168E-15
MA0085,0.922777871584700239E-15
MA0086,0.215651307010738680E-15
MA0087,0.219902084928866778E-14
MA0088,0.276551889462075613E-14
MA0089,0.795038055817957303E-16
MA0090,0.123473542755055386E-15
MA0091,0.185623743138974240E-15
MA0092,0.294520127382913594E-15
MA0093,0.564033650204432268E-15
MA0094,0.127923000000000008E-14
MA0095,0.464585444418850267E-15
MA0096,0.109140602854017981E-14
MA0097,0.705311744879941753E-16
MA0098,0.179485196060207374E-15
MA0099,0.688036448606021281E-16
MA0100,0.122087556303876364E-15
MA0102,0.114237077794135039E-15
MA0103,0.933908177478716712E-16
MA0104,0.428534442637298995E-15
MA0105,0.221520914178906984E-15
MA0106,0.539739999999999971E-15
MA0107,0.166748200122041561E-14
MA0109,0.894111377966348975E-16
MA0110,0.128067707133776400E-15
MA0112,0.517190883028500006E-16
MA0113,0.213477394282897835E-16
MA0114,0.170500000000000010E-15
MA0115,0.542047343374479862E-16
MA0117,0.474818113257653900E-15
MA0118,0.257713709200288422E-16
MA0120,0.132412099736890880E-14
MA0121,0.699115831253169120E-15
MA0124,0.836272397793619098E-16
MA0127,0.405622656133537149E-15
